name;cloneof;description;is_clone;is_parent;manufacturer;romof;sampleof;year
005;-;005;YES;NO;Sega;-;-;1981;
720;-;720 Degrees (rev 4);YES;NO;Atari Games;-;-;1986;
280zzzap;-;Datsun 280 Zzzap;YES;NO;Midway;-;-;1976;
40love;-;Forty-Love;YES;NO;Taito Corporation;-;-;1984;
47pie2;-;Idol Janshi Su-Chi-Pie 2 (v1.1);YES;NO;Jaleco;-;-;1994;
7jigen;-;7jigen no Youseitachi - Mahjong 7 Dimensions (Japan);YES;NO;Dynax;-;-;1990;
8ball;-;Video Eight Ball;YES;NO;Century Electronics;cvs;-;1982;
aafb;-;All American Football (rev E);YES;NO;Leland Corp.;-;-;1989;
abaseb;-;Atari Baseball (set 1);YES;NO;Atari;-;-;1979;
ace;-;Ace;YES;NO;Allied Leisure;-;-;1976;
acedrvrw;-;Ace Driver (Rev. AD2, World);YES;NO;Namco;-;-;1994;
acpsx;-;Acclaim PSX;YES;NO;Acclaim;-;-;1996;
ainferno;-;Air Inferno (US);YES;NO;Taito America Corporation;-;-;1990;
airco22b;-;Air Combat 22 (Rev. ACS1 Ver.B);YES;NO;Namco;-;-;1995;
aircombj;-;Air Combat (Japan);YES;NO;Namco;-;-;1992;
alleymas;-;Alley Master;YES;NO;Cinematronics;-;-;1986;
alphaho;-;Alpha Fighter - Head On;YES;NO;Data East Corporation;-;invinco;19??;
alpinerd;-;Alpine Racer (Rev. AR2 Ver.D);YES;NO;Namco;-;-;1995;
amerdart;-;AmeriDarts;YES;NO;Ameri;-;-;1989;
andromed;-;Andromeda (Japan[Q]);YES;NO;Irem;-;-;1979;
apb;-;APB - All Points Bulletin (rev 7);YES;NO;Atari Games;-;-;1987;
apparel;-;Apparel Night (Japan 860929);YES;NO;Central Denshi;-;-;1986;
aquarush;-;Aqua Rush (AQ1-VER.A);YES;NO;Namco;-;-;1999;
area51;-;Area 51;YES;NO;Atari Games;-;-;1995;
area51mx;-;Area 51 - Maximum Force Duo v2.0;YES;NO;Atari Games;-;-;1998;
arlingtn;-;Arlington Horse Racing (v1.21-D);YES;NO;Strata/Incredible Technologies;-;-;1991;
armora;-;Armor Attack;YES;NO;Cinematronics;-;-;1980;
astinvad;-;Astro Invader;YES;NO;Stern;-;invaders;1980;
astrass;-;Astra SuperStars;YES;NO;Sunsoft;stvbios;-;1998;
astrob;-;Astro Blaster (version 3);YES;NO;Sega;-;-;1981;
astrof;-;Astro Fighter (set 1);YES;NO;Data East;-;-;1979;
astropal;-;Astropal;YES;NO;Sidam;-;invaders;1980;
asylum;-;Asylum (prototype);YES;NO;Leland Corp.;-;-;1991;
atarifb;-;Atari Football (revision 2);YES;NO;Atari;-;-;1978;
ataxx;-;Ataxx (set 1);YES;NO;Leland Corp.;-;-;1990;
av2mj1bb;-;AV2Mahjong No.1 Bay Bridge no Seijo (Japan);YES;NO;MIKI SYOUJI/AV JAPAN;-;-;1991;
av2mj2rg;-;AV2Mahjong No.2 Rouge no Kaori (Japan);YES;NO;MIKI SYOUJI/AV JAPAN;-;-;1991;
avalnche;-;Avalanche;YES;NO;Atari;-;-;1978;
bakubaku;-;Baku Baku Animal;YES;NO;Sega;stvbios;-;1996;
ballbomb;-;Balloon Bomber;YES;NO;Taito;-;invaders;1980;
balonfgt;-;Vs. Balloon Fight;YES;NO;Nintendo;-;-;1984;
bananadr;-;Mahjong Banana Dream [BET] (Japan 891124);YES;NO;Digital Soft;-;-;1989;
barricad;-;Barricade;YES;NO;RamTek;-;-;1976;
barrier;-;Barrier;YES;NO;Vectorbeam;-;-;1979;
basebal2;-;Baseball The Season II;YES;NO;Cinematronics;-;-;1987;
batmanfr;-;Batman Forever;YES;NO;Acclaim;stvbios;-;1996;
battlcry;-;Battlecry;YES;NO;Home Data;-;-;1991;
battleg;-;Battle Garegga - Type 2 (Denmark - China) (Tue Apr 2 1996);YES;NO;Raizing / Eighting;-;-;1996;
battlera;-;Battle Rangers (World);YES;NO;Data East Corporation;-;-;1988;
bbonk;-;Bigfoot Bonkers;YES;NO;Meadows Games, Inc.;-;-;1976;
bbprot;-;Untitled Fighter 'BB' (prototype);YES;NO;<unknown>;-;-;199?;
beaminv;-;Beam Invader;YES;NO;Tekunon Kougyou;-;-;19??;
beastrzr;-;Beastorizer;YES;NO;Eighting/Raizing;psarc95;-;1997;
beathead;-;BeatHead (prototype);YES;NO;Atari Games;-;-;1993;
beezer;-;Beezer (set 1);YES;NO;Tong Electronic;-;-;1982;
bigevglf;-;Big Event Golf;YES;NO;Taito America Corporation;-;-;1986;
bijokkog;-;Bijokko Gakuen (Japan 880116);YES;NO;Nichibutsu;-;-;1988;
bijokkoy;-;Bijokko Yume Monogatari (Japan 870925);YES;NO;Nichibutsu;-;-;1987;
biofreak;-;BioFreaks (prototype);YES;NO;Midway Games;-;-;1997;
bking;-;Birdie King;YES;NO;Taito Corporation;-;-;1982;
bking2;-;Birdie King 2;YES;NO;Taito Corporation;-;-;1983;
bking3;-;Birdie King 3;YES;NO;Taito Corporation;-;-;1984;
blitz;-;NFL Blitz;YES;NO;Midway Games;-;-;1997;
blitz2k;-;NFL Blitz 2000;YES;NO;Midway Games;-;-;1999;
blitz99;-;NFL Blitz '99;YES;NO;Midway Games;-;-;1998;
blueshrk;-;Blue Shark;YES;NO;Midway;-;-;1978;
bm1stmix;-;beatmania (ver JA-B);YES;NO;Konami;-;-;1997;
bm2ndmix;-;beatmania 2nd MIX (ver JA-B);YES;NO;Konami;-;-;1998;
bm4thmix;-;beatmania 4th MIX (ver JA-A);YES;NO;Konami;-;-;1999;
bmcompmx;-;beatmania complete MIX (ver JA-B);YES;NO;Konami;-;-;1999;
bmcorerm;-;beatmania CORE REMIX (ver JA-A);YES;NO;Konami;-;-;2000;
bmdct;-;beatmania f. Dreams Come True (ver JA-A);YES;NO;Konami;-;-;2000;
bnglngby;-;Vs. Raid on Bungeling Bay (Japan);YES;NO;Nintendo / Broderbund Software Inc.;-;-;1985;
boothill;-;Boot Hill;YES;NO;Midway;-;-;1977;
borntofi;-;Born To Fight;YES;NO;International Games;-;-;1987;
bosco;-;Bosconian (new version);YES;NO;Namco;-;-;1981;
bowler;-;4 Player Bowling Alley;YES;NO;Midway;-;-;1978;
boxer;-;Boxer (prototype);YES;NO;Atari;-;-;1978;
boxingb;-;Boxing Bugs;YES;NO;Cinematronics;-;-;1981;
brickzn;-;Brick Zone (v5.0);YES;NO;SunA;-;-;1992;
brutforc;-;Brute Force;YES;NO;Leland Corp.;-;-;1991;
brvblade;-;Brave Blade (JAPAN);YES;NO;Eighting/Raizing;psarc95;-;2000;
bsktball;-;Basketball;YES;NO;Atari;-;-;1979;
btlecity;-;Vs. Battle City;YES;NO;Namco;-;-;1985;
bullfgtr;-;Bull Fighter;YES;NO;Alpha Denshi Co. (Sega license);-;-;1984;
bwing;-;B-Wings (Japan);YES;NO;Data East Corporation;-;-;1984;
cabaret;-;Cabaret;YES;NO;IGS;-;-;19??;
calspeed;-;California Speed;YES;NO;Atari Games;-;-;1998;
cannonb;-;Cannon Ball (Crazy Climber hardware);YES;NO;Soft;-;-;1985;
carnevil;-;CarnEvil;YES;NO;Midway Games;-;-;1998;
carpolo;-;Car Polo;YES;NO;Exidy;-;-;1977;
catapult;-;Catapult;YES;NO;Epos Corporation;-;-;1982;
cbasebal;-;Capcom Baseball (Japan);YES;NO;Capcom;-;-;1989;
ccasino;-;Chinese Casino [BET] (Japan);YES;NO;V-System Co.;-;-;1987;
cchasm;-;Cosmic Chasm (set 1);YES;NO;Cinematronics / GCE;-;-;1983;
cerberus;-;Cerberus;YES;NO;Cinematronics;-;-;1985;
challeng;-;Challenger;YES;NO;GamePlan (Centuri license);-;-;1981;
champbas;-;Champion Baseball;YES;NO;Sega;-;-;1983;
champbb2;-;Champion Baseball II;YES;NO;Sega;-;-;1983;
chboxing;-;Champion Boxing;YES;NO;Sega;-;-;1984;
checkmat;-;Checkmate;YES;NO;Midway;-;-;1977;
chinmoku;-;Mahjong Chinmoku no Hentai (Japan 900511);YES;NO;Nichibutsu;-;-;1990;
chplft;-;Choplifter;YES;NO;Sega;-;-;1985;
chwrestl;-;Champion Pro Wrestling;YES;NO;Sega;-;-;1985;
circus;-;Circus;YES;NO;Exidy;-;-;1977;
citylove;-;City Love (Japan 860908);YES;NO;Nichibutsu;-;-;1986;
clayshoo;-;Clay Shoot;YES;NO;Allied Leisure;-;-;1979;
clowns;-;Clowns (rev. 2);YES;NO;Midway;-;circus;1978;
club90s;-;Mahjong CLUB 90's (set 1) (Japan 900919);YES;NO;Nichibutsu;-;-;1990;
cluclu;-;Vs. Clu Clu Land;YES;NO;Nintendo;-;-;1984;
cmehyou;-;Mahjong Circuit no Mehyou (Japan);YES;NO;Nichibutsu/Kawakusu;-;-;1992;
colmns97;-;Columns 97;YES;NO;Sega;stvbios;-;1996;
combasc;-;Combat School (joystick);YES;NO;Konami;-;-;1988;
compgolf;-;Competition Golf Final Round (revision 3);YES;NO;Data East;-;-;1986;
coolpool;-;Cool Pool;YES;NO;Catalina;-;-;1992;
copsnrob;-;Cops'n Robbers;YES;NO;Atari;-;-;1976;
cosmica;-;Cosmic Alien;YES;NO;Universal;-;-;1979;
cosmicg;-;Cosmic Guerilla;YES;NO;Universal;-;-;1979;
cosmicm2;-;Cosmic Monsters II;YES;NO;Universal;-;invaders;1979;
cosmicmo;-;Cosmic Monsters;YES;NO;Universal;-;invaders;1979;
cosmo;-;Cosmo;YES;NO;TDS & Mints;-;invaders;1979;
cosmos;-;Cosmos;YES;NO;Century Electronics;cvs;-;1981;
cotton2;-;Cotton 2;YES;NO;Success;stvbios;-;1997;
cottonbm;-;Cotton Boomerang;YES;NO;Success;stvbios;-;1998;
cprosocc;-;Cassette: Pro Soccer;YES;NO;DECO;decocass;-;1983;
cpzn1;-;ZN1;YES;NO;Sony/Capcom;-;-;1997;
cpzn2;-;ZN2;YES;NO;Sony/Capcom;-;-;1997;
crash;-;Crash;YES;NO;Exidy;-;-;1979;
crater;-;Crater Raider;YES;NO;Bally Midway;-;-;1984;
crgolf;-;Crowns Golf (set 1);YES;NO;Nasco Japan;-;-;1984;
crusnusa;-;Cruis'n USA (rev L4.1);YES;NO;Midway;-;-;1994;
crusnwld;-;Cruis'n World (rev L2.3);YES;NO;Midway;-;-;1996;
cryptklr;-;Crypt Killer (ver. UAA);YES;NO;Konami;-;-;1995;
crystal2;-;Crystal Gal 2 (Japan 860620);YES;NO;Nichibutsu;-;-;1986;
crystalg;-;Crystal Gal (Japan 860512);YES;NO;Nichibutsu;-;-;1986;
cshift;-;Chicken Shift;YES;NO;Bally/Sente;-;-;1984;
cshooter;-;Cross Shooter (not encrypted);YES;NO;[Seibu Kaihatsu] (Taito license);-;-;1987;
csprint;-;Championship Sprint (rev 3);YES;NO;Atari Games;-;-;1986;
cstlevna;-;Vs. Castlevania;YES;NO;Konami;-;-;1987;
cupsoc;-;Seibu Cup Soccer;YES;NO;Seibu;-;-;1992;
cvs;-;CVS Bios;YES;NO;Century Electronics;-;-;1981;
cyberbal;-;Cyberball (rev 4);YES;NO;Atari Games;-;-;1988;
cybrcomm;-;Cyber Commando (Rev. CY1, Japan);YES;NO;Namco;-;-;1995;
cybrcycc;-;Cyber Cycles (Rev. CB2 Ver.C);YES;NO;Namco;-;-;1995;
cybsled;-;Cyber Sled;YES;NO;Namco;-;-;1993;
daireika;-;Mahjong Daireikai;YES;NO;Jaleco / NMK;-;-;1989;
daiskiss;-;Daisu-Kiss (ver JAA);YES;NO;Konami;konamigx;-;1996;
daiyogen;-;Mahjong Daiyogen (Japan);YES;NO;Video System Co.;-;-;1990;
dakkochn;-;DakkoChan Jansoh;YES;NO;Sega;-;-;1987;
danceyes;-;Dancing Eyes (DC1-VER.A);YES;NO;Namco;-;-;1996;
danchih;-;Danchi de Hanafuda;YES;NO;Altron (Tecmo license);stvbios;-;1999;
dangerex;-;Danger Express (prototype);YES;NO;Atari Games;-;-;1992;
dangerz;-;Danger Zone;YES;NO;Cinematronics;-;-;1986;
darkwar;-;Dark Warrior;YES;NO;Century Electronics;cvs;-;1981;
dazzler;-;Dazzler;YES;NO;Century Electronics;cvs;-;1982;
dblplay;-;Super Baseball Double Play Home Run Derby;YES;NO;Leland Corp. / Tradewest;-;-;1987;
ddenlovr;-;Don Den Lover Vol. 1 (Hong Kong);YES;NO;Dynax;-;-;1996;
ddungeon;-;Dangerous Dungeons;YES;NO;East Coast Coin Company (Melbourne);-;-;1992;
deadeye;-;Dead Eye;YES;NO;Meadows;-;-;1978;
decathlt;-;Decathlete;YES;NO;Sega;stvbios;-;1995;
demon;-;Demon;YES;NO;Rock-ola;-;-;1982;
demoneye;-;Demoneye-X;YES;NO;Irem;-;-;1981;
depthch;-;Depthcharge;YES;NO;Gremlin;-;-;1977;
desertgu;-;Desert Gun;YES;NO;Midway;-;-;1977;
destroyr;-;Destroyer;YES;NO;Atari;-;-;1977;
devzone;-;Devil Zone;YES;NO;Universal;-;-;1980;
diehard;-;Die Hard Arcade (US);YES;NO;Sega;stvbios;-;1996;
digger;-;Digger;YES;NO;Sega;-;-;1980;
diggerc;-;Digger (CVS);YES;NO;Century Electronics;cvs;-;1982;
dlair;-;Dragon's Lair;YES;NO;Cinematronics;-;-;1983;
doapp;-;Dead Or Alive ++ (JAPAN);YES;NO;Tecmo;tps;-;1998;
dodgem;-;Dodgem;YES;NO;Zaccaria;-;-;1979;
dogpatch;-;Dog Patch;YES;NO;Midway;-;circus;1977;
dokidoki;-;Doki Doki Penguin Land;YES;NO;Sega;-;-;1985;
dokyusei;-;Mahjong Doukyuusei;YES;NO;Make Software / Elf / Media Trading;-;-;1995;
dokyusp;-;Mahjong Doukyuusei Special;YES;NO;Make Software / Elf / Media Trading;-;-;1995;
dominos;-;Dominos;YES;NO;Atari;-;-;1977;
dondenmj;-;Don Den Mahjong [BET] (Japan);YES;NO;Dyna Electronics;-;-;1986;
dragoonj;-;Dragoon Might (ver JAA);YES;NO;Konami;konamigx;-;1995;
dragrace;-;Drag Race;YES;NO;Atari;-;-;1977;
dragwld2;-;Zhong Guo Long II (ver. 100C, China);YES;NO;IGS;pgm;-;1997;
drgnwrld;-;Dragon World (World, V040O);YES;NO;IGS;-;-;1997;
drgpunch;-;Dragon Punch (Japan);YES;NO;Dynax;-;-;1989;
drivedge;-;Driver's Edge;YES;NO;Strata/Incredible Technologies;-;-;1994;
drmario;-;Vs. Dr. Mario;YES;NO;Nintendo;-;-;1990;
duckhunt;-;Vs. Duck Hunt;YES;NO;Nintendo;-;-;1985;
dunkmnia;-;Dunk Mania (DM1-VER.C);YES;NO;Namco;-;-;1995;
dw;-;Dynasty Wars (World);YES;NO;Capcom;-;-;1989;
dynobop;-;Dyno Bop;YES;NO;Grand Products/Incredible Technologies;-;-;1990;
ebases;-;Extra Bases;YES;NO;Midway;-;-;1980;
eggventr;-;Egg Venture;YES;NO;The Game Room;-;-;1997;
ehrgeiz;-;Ehrgeiz (EG3-VER.A);YES;NO;Square/Namco;-;-;1998;
einnings;-;Extra Inning;YES;NO;Midway;-;-;1978;
ejihon;-;Ejihon Tantei Jimusyo;YES;NO;Sega;stvbios;-;1995;
elandore;-;Fighting Dragon Legend Elan Doree;YES;NO;Sai-Mate;stvbios;-;1998;
embargo;-;Embargo;YES;NO;Cinematronics;-;-;1977;
enigma2;-;Enigma 2;YES;NO;GamePlan (Zilec Electronics license);-;-;1981;
equites;-;Equites;YES;NO;Alpha Denshi Co.;-;-;1984;
excitebk;-;Vs. Excitebike;YES;NO;Nintendo;-;-;1984;
exctsccr;-;Exciting Soccer;YES;NO;Alpha Denshi Co.;-;-;1983;
f1superb;-;F1 Super Battle;YES;NO;Jaleco;-;-;1994;
fantasy;-;Fantasy (US);YES;NO;[SNK] (Rock-ola license);-;-;1981;
fax;-;Fax;YES;NO;Exidy;-;-;1983;
ffreveng;-;Final Fight Revenge;YES;NO;Capcom;stvbios;-;1999;
fgtlayer;-;Fighting Layer (FTL1-VER.A);YES;NO;Arika/Namco;-;-;1998;
fhboxers;-;Funky Head Boxers;YES;NO;Sega;stvbios;-;1995;
fieldday;-;Field Day;YES;NO;Taito Corporation;-;-;1984;
findlove;-;Find Love;YES;NO;Daiki;stvbios;-;1996;
findout;-;Find Out;YES;NO;Elettronolo;-;-;1987;
fireone;-;Fire One;YES;NO;Exidy;-;-;1979;
firetrk;-;Fire Truck;YES;NO;Atari;-;-;1978;
fitfight;-;Fit of Fighting;YES;NO;bootleg;-;-;199?;
flyball;-;Flyball;YES;NO;Atari;-;-;1976;
frogs;-;Frogs;YES;NO;Gremlin;-;-;1978;
fromanc2;-;Taisen Idol-Mahjong Final Romance 2 (Japan);YES;NO;Video System Co.;-;-;1995;
fromanc4;-;Taisen Mahjong FinalRomance 4 (Japan);YES;NO;Video System Co.;-;-;1998;
fromance;-;Idol-Mahjong Final Romance (Japan);YES;NO;Video System Co.;-;-;1991;
fromancr;-;Taisen Mahjong FinalRomance R (Japan);YES;NO;Video System Co.;-;-;1995;
ftimpcta;-;Fighter's Impact Ace (JAPAN);YES;NO;Taito;taitofx1;-;1996;
ftsoccer;-;Fighting Soccer;YES;NO;SNK;-;-;1988;
gakupara;-;Quiz Gakuen Paradise (Japan);YES;NO;NMK;-;-;1991;
gakusai;-;Mahjong Gakuensai (Japan);YES;NO;MakeSoft;-;-;1997;
gakusai2;-;Mahjong Gakuensai 2 (Japan);YES;NO;MakeSoft;-;-;1998;
gal10ren;-;Mahjong Gal 10-renpatsu (Japan);YES;NO;FUJIC;-;-;1993;
galactic;-;Galactica - Batalha Espacial;YES;NO;Taito do Brasil;-;invaders;1980;
galkaika;-;Mahjong Gal no Kaika (Japan);YES;NO;Nichibutsu/T.R.TEC;-;-;1989;
galkoku;-;Mahjong Gal no Kokuhaku (Japan);YES;NO;Nichibutsu/T.R.TEC;-;-;1989;
galpandx;-;Gals Panic DX (Asia);YES;NO;Kaneko;skns;-;2001;
galpani2;-;Gals Panic II (Japan[Q]);YES;NO;Kaneko;-;-;1993;
galxwars;-;Galaxy Wars (Universal set 1);YES;NO;Universal;-;invaders;1979;
gaxeduel;-;Golden Axe - The Duel;YES;NO;Sega;stvbios;-;1994;
gcpinbal;-;Grand Cross;YES;NO;Excellent System;-;-;1994;
gdarius;-;G-Darius (JAPAN);YES;NO;Taito;taitofx1;-;1997;
gekiretu;-;Quiz Gekiretsu Scramble (Japan);YES;NO;Face;-;-;1992;
gekirido;-;Gekirindan (Japan);YES;NO;Taito Corporation;-;-;1995;
getstar;-;Guardian (US);YES;NO;Taito America Corp;-;-;1986;
gghost;-;Goalie Ghost;YES;NO;Bally/Sente;-;-;1984;
gimeabrk;-;Gimme A Break;YES;NO;Bally/Sente;-;-;1985;
gionbana;-;Gionbana (Japan 890120);YES;NO;Nichibutsu;-;-;1989;
glfgreat;-;Golfing Greats;YES;NO;Konami;-;-;1991;
glpracr;-;Gallop Racer (JAPAN Ver 9.01.12);YES;NO;Tecmo;cpzn1;-;1996;
glpracr2;-;Gallop Racer 2 (USA);YES;NO;Tecmo;tps;-;1997;
gmissile;-;Guided Missile;YES;NO;Midway;-;-;1977;
gokuparo;-;Gokujyou Parodius (ver JAD);YES;NO;Konami;konamigx;-;1994;
goldbug;-;Gold Bug;YES;NO;Century Electronics;cvs;-;1982;
golgo13;-;Golgo 13 (GLG1-VER.A);YES;NO;Raizing/Namco;-;-;1999;
gomoku;-;Gomoku Narabe Renju;YES;NO;Nichibutsu;-;-;1981;
goonies;-;Vs. The Goonies;YES;NO;Konami;-;-;1986;
gorf;-;Gorf;YES;NO;Midway;-;-;1981;
gpgolf;-;Golden Par Golf (Joystick, V1.1);YES;NO;Strata/Incredible Technologies;-;-;1992;
grchamp;-;Grand Champion;YES;NO;Taito;-;-;1981;
grdforce;-;Guardian Force;YES;NO;Success;stvbios;-;1998;
greatgun;-;Great Guns;YES;NO;Stern;-;-;1983;
greenber;-;Green Beret (Irem);YES;NO;Irem;-;-;1980;
gridiron;-;Gridiron Fight;YES;NO;Tehkan;-;-;1985;
gridlee;-;Gridlee;YES;NO;Videa;-;-;1983;
groovef;-;Power Instinct 3 - Groove On Fight;YES;NO;Atlus;stvbios;-;1996;
grtwall;-;The Great Wall;YES;NO;IGS;-;-;1994;
grudge;-;Grudge Match (prototype);YES;NO;Bally/Midway;-;-;198?;
gstriker;-;Grand Striker;YES;NO;Human;-;-;1993;
gsword;-;Great Swordsman;YES;NO;Taito Corporation;-;-;1984;
gtg;-;Golden Tee Golf (Joystick, v3.1);YES;NO;Strata/Incredible Technologies;-;-;1990;
gtg2;-;Golden Tee Golf II (Trackball, V2.2);YES;NO;Strata/Incredible Technologies;-;-;1992;
guardian;-;Guardians of the Hood;YES;NO;Atari Games;-;-;1992;
gundealr;-;Gun Dealer (set 1);YES;NO;Dooyong;-;-;1990;
gunfight;-;Gun Fight;YES;NO;Midway;-;-;1975;
gypsyjug;-;Gypsy Juggler;YES;NO;Meadows;-;-;1978;
halleys;-;Halley's Comet (US);YES;NO;Taito America Corporation (Coin-It license);-;-;1986;
hanaawas;-;Hana Awase (Flower Matching);YES;NO;Seta;-;-;1982;
hanagumi;-;Hanagumi Taisen Columns - Sakura Wars;YES;NO;Sega;stvbios;-;1998;
hanakanz;-;Hanakanzashi (Japan);YES;NO;Dynax;-;-;1996;
hanamai;-;Hana no Mai (Japan);YES;NO;Dynax;-;-;1988;
hanamomo;-;Mahjong Hana no Momoko gumi (Japan 881201);YES;NO;Nichibutsu;-;-;1988;
hanaoji;-;Hana to Ojisan [BET] (Japan 911209);YES;NO;Nichibutsu;-;-;1991;
hanaroku;-;Hanaroku;YES;NO;Alba;-;-;1988;
harddriv;-;Hard Drivin' (cockpit, rev 7);YES;NO;Atari Games;-;-;1988;
hardhat;-;Hard Hat;YES;NO;Exidy;-;-;1982;
hattrick;-;Hat Trick;YES;NO;Bally/Sente;-;-;1984;
hdrivair;-;Hard Drivin's Airborne (prototype);YES;NO;Atari Games;-;-;1993;
headon2;-;Head On 2;YES;NO;Sega;-;-;1979;
heartatk;-;Heart Attack;YES;NO;Century Electronics;cvs;-;1983;
helifire;-;HeliFire (set 1);YES;NO;Nintendo;-;-;1980;
highsplt;-;Space Fever High Splitter (set 1);YES;NO;Nintendo;-;-;1979;
histryma;-;The History of Martial Arts;YES;NO;bootleg;-;-;199?;
hitme;-;Hit Me;YES;NO;RamTek;-;-;1976;
hmcompm2;-;hiphopmania complete MIX 2 (ver UA-A);YES;NO;Konami;-;-;2000;
hnayayoi;-;Hana Yayoi (Japan);YES;NO;Dyna Electronics;-;-;1987;
hnoridur;-;Hana Oriduru (Japan);YES;NO;Dynax;-;-;1989;
hogalley;-;Vs. Hogan's Alley;YES;NO;Nintendo;-;-;1985;
homerun;-;Moero Pro Yakyuu Homerun;YES;NO;Jaleco;-;-;1988;
hotsmash;-;Hot Smash;YES;NO;Taito;-;-;1987;
hourouki;-;Mahjong Hourouki Part 1 - Seisyun Hen (Japan);YES;NO;Home Data;-;-;1987;
housemn2;-;House Mannequin Roppongi Live hen (Japan 870418);YES;NO;Nichibutsu;-;-;1987;
housemnq;-;House Mannequin (Japan 870217);YES;NO;Nichibutsu;-;-;1987;
hstennis;-;Hot Shots Tennis (V1.1);YES;NO;Strata/Incredible Technologies;-;-;1990;
hvoltage;-;High Voltage;YES;NO;Alpha Denshi Co.;-;-;1985;
hyhoo;-;Taisen Quiz HYHOO (Japan);YES;NO;Nichibutsu;-;-;1987;
hyhoo2;-;Taisen Quiz HYHOO 2 (Japan);YES;NO;Nichibutsu;-;-;1987;
iceclimb;-;Vs. Ice Climber;YES;NO;Nintendo;-;-;1984;
iceclmrj;-;Vs. Ice Climber Dual (Japan);YES;NO;Nintendo;-;-;1984;
idhimitu;-;Idol no Himitsu [BET] (Japan 890304);YES;NO;Digital Soft;-;-;1989;
idolmj;-;Idol-Mahjong Housoukyoku (Japan);YES;NO;System Service;-;-;1988;
idsoccer;-;Indoor Soccer;YES;NO;Universal;-;-;1985;
iemoto;-;Iemoto (Japan 871020);YES;NO;Nichibutsu;-;-;1987;
imekura;-;Imekura Mahjong (Japan);YES;NO;SPHINX/AV JAPAN;-;-;1994;
indianbt;-;Indian Battle;YES;NO;Taito;-;invaders;1980;
indyheat;-;Danny Sullivan's Indy Heat;YES;NO;Leland Corp.;-;-;1991;
indytemp;-;Indiana Jones and the Temple of Doom (set 1);YES;NO;Atari Games;-;-;1985;
inferno;-;Inferno (Williams);YES;NO;Williams;-;-;1984;
introdon;-;Karaoke Quiz Intro Don Don!;YES;NO;Sunsoft / Success;stvbios;-;1996;
invad2ct;-;Space Invaders II (Midway, cocktail);YES;NO;Midway;-;invaders;1980;
invadpt2;-;Space Invaders Part II (Taito);YES;NO;Taito;-;invaders;1979;
invasion;-;Invasion (Sidam);YES;NO;Sidam;-;invaders;1980;
invds;-;Invinco - Deep Scan;YES;NO;Sega;-;invinco;1979;
invho2;-;Invinco - Head On 2;YES;NO;Sega;-;invinco;1979;
invinco;-;Invinco;YES;NO;Sega;-;-;1979;
invrvnge;-;Invader's Revenge;YES;NO;Zenitone Microsec Ltd.;-;invaders;19??;
ipminvad;-;IPM Invader;YES;NO;Irem;-;-;1979?;
irobot;-;I, Robot;YES;NO;Atari;-;-;1983;
jackrabt;-;Jack Rabbit (set 1);YES;NO;Zaccaria;-;-;1984;
jajamaru;-;Vs. Ninja Jajamaru Kun (Japan);YES;NO;Jaleco;-;-;1985;
jdredd;-;Judge Dredd (Rev C);YES;NO;Acclaim;acpsx;-;1996;
jogakuen;-;Mahjong Jogakuen (Japan);YES;NO;Windom;-;-;1992?;
josvolly;-;Joshi Volleyball;YES;NO;Taito Corporation;-;-;1983;
joust2;-;Joust 2 - Survival of the Fittest (set 1);YES;NO;Williams;-;-;1986;
jsk;-;Joryuu Syougi Kyoushitsu (Japan);YES;NO;Visco;-;-;1997;
